"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"04/16/2018","AQS","420031376","1","3.3","ug/m3 LC","14","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/17/2018","AQS","420031376","1","5","ug/m3 LC","21","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/18/2018","AQS","420031376","1","7.4","ug/m3 LC","31","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/19/2018","AQS","420031376","1","6.1","ug/m3 LC","25","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/20/2018","AQS","420031376","1","5.5","ug/m3 LC","23","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/21/2018","AQS","420031376","1","7.9","ug/m3 LC","33","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/22/2018","AQS","420031376","1","7.5","ug/m3 LC","31","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/23/2018","AQS","420031376","1","8","ug/m3 LC","33","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/24/2018","AQS","420031376","1","4.7","ug/m3 LC","20","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/25/2018","AQS","420031376","1","4.5","ug/m3 LC","19","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/26/2018","AQS","420031376","1","6.2","ug/m3 LC","26","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/27/2018","AQS","420031376","1","9.9","ug/m3 LC","41","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/28/2018","AQS","420031376","1","8.5","ug/m3 LC","35","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/29/2018","AQS","420031376","1","5.3","ug/m3 LC","22","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"04/30/2018","AQS","420031376","1","11","ug/m3 LC","46","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/01/2018","AQS","420031376","1","13.5","ug/m3 LC","54","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/02/2018","AQS","420031376","1","16.5","ug/m3 LC","60","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/03/2018","AQS","420031376","1","13.2","ug/m3 LC","53","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/04/2018","AQS","420031376","1","12","ug/m3 LC","50","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/05/2018","AQS","420031376","1","6.6","ug/m3 LC","28","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/06/2018","AQS","420031376","1","7.6","ug/m3 LC","32","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/07/2018","AQS","420031376","1","12.3","ug/m3 LC","51","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/08/2018","AQS","420031376","1","11.5","ug/m3 LC","48","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/09/2018","AQS","420031376","1","10.7","ug/m3 LC","45","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/10/2018","AQS","420031376","1","13.2","ug/m3 LC","53","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/11/2018","AQS","420031376","1","7.5","ug/m3 LC","31","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/12/2018","AQS","420031376","1","16.6","ug/m3 LC","60","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/13/2018","AQS","420031376","1","16.7","ug/m3 LC","61","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/14/2018","AQS","420031376","1","13.9","ug/m3 LC","55","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/15/2018","AQS","420031376","1","10.2","ug/m3 LC","43","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/16/2018","AQS","420031376","1","10.5","ug/m3 LC","44","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/17/2018","AQS","420031376","1","9.8","ug/m3 LC","41","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/18/2018","AQS","420031376","1","7.6","ug/m3 LC","32","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/19/2018","AQS","420031376","1","4.7","ug/m3 LC","20","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/20/2018","AQS","420031376","1","8.2","ug/m3 LC","34","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/21/2018","AQS","420031376","1","11","ug/m3 LC","46","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/22/2018","AQS","420031376","1","10.3","ug/m3 LC","43","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/23/2018","AQS","420031376","1","8.7","ug/m3 LC","36","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/24/2018","AQS","420031376","1","17.6","ug/m3 LC","63","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/25/2018","AQS","420031376","1","16.8","ug/m3 LC","61","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/26/2018","AQS","420031376","1","18.3","ug/m3 LC","64","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/27/2018","AQS","420031376","1","13","ug/m3 LC","53","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/28/2018","AQS","420031376","1","20.2","ug/m3 LC","68","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/29/2018","AQS","420031376","1","18","ug/m3 LC","63","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/30/2018","AQS","420031376","1","6.7","ug/m3 LC","28","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"05/31/2018","AQS","420031376","1","11.6","ug/m3 LC","48","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/01/2018","AQS","420031376","1","13.4","ug/m3 LC","54","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/02/2018","AQS","420031376","1","10.2","ug/m3 LC","43","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/03/2018","AQS","420031376","1","11","ug/m3 LC","46","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/04/2018","AQS","420031376","1","6.9","ug/m3 LC","29","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/05/2018","AQS","420031376","1","8.4","ug/m3 LC","35","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/06/2018","AQS","420031376","1","7.3","ug/m3 LC","30","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/07/2018","AQS","420031376","1","15.5","ug/m3 LC","58","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/08/2018","AQS","420031376","1","19.5","ug/m3 LC","67","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/09/2018","AQS","420031376","1","21.3","ug/m3 LC","70","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/10/2018","AQS","420031376","1","14","ug/m3 LC","55","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/11/2018","AQS","420031376","1","4.5","ug/m3 LC","19","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/12/2018","AQS","420031376","1","5.5","ug/m3 LC","23","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
"06/13/2018","AQS","420031376","1","10","ug/m3 LC","42","Parkway East Near-Road","1","100.0000","88101","PM2.5 - Local Conditions","38300","Pittsburgh, PA","42","Pennsylvania","003","Allegheny","40.43743","-79.863572"
